n_digits;median(ns);min(ns);max(ns)
749;13764;13110;3629511
750;3584087;13437;3662707
751;3600704;3518668;3749284
752;3741590;3706901;3778903
753;3743292;3701862;3796512
754;3753085;3682023;4040337
755;3755691;13304;4226494
756;3764000;3721565;3828657
757;1857232;13532;3825741
758;3783585;13754;3960032
759;3788787;3742936;3826414
760;3784217;13607;3880083
761;3791502;13297;3841386
762;1871557;13713;3846595
763;3783691;13627;3909394
764;1891137;13433;3884821
765;3813037;14019;3892632
766;3815942;13923;3856775
767;3828405;3715796;3996970
768;3838779;3774424;3912726
769;1920430;13810;3910685
770;3852587;14211;3969215
771;4078771;14161;4162302
772;4120804;4070513;4189463
773;4104789;4064509;4177430
774;4119273;3999422;4290511
775;4123653;4089269;4211000
776;4148745;4076264;4274828
777;4139778;4096251;4206627
778;4133513;14365;4250787
779;4148512;4078676;4243557
780;4152983;17575;4220438
781;4169865;4096442;4313501
782;4155115;14576;4296696
783;4168374;14346;4264655
784;2081514;14405;4225339
785;4156078;14243;4281581
786;4197759;4136882;4267009
787;4184772;14101;4274997
788;4205963;14440;4230009
789;4213618;14660;4290717
790;4202962;14264;4323858
791;4356071;4314290;4425298
792;4333245;14508;4437223
793;14906;14416;4432675
794;15342;14390;4421721
795;4358227;14752;4438689
796;4357460;4285444;4516362
797;4364934;14624;4447315
798;4376949;4311339;4497038
799;4384220;14640;4471667
800;4406561;4340777;4457242
801;4399960;14608;4573602
802;4407783;15536;4460643
803;4433910;14830;4512903
804;4395702;14372;4475829
805;4404196;4355881;4496104
806;4430775;4367983;4489456
807;4441102;4373144;4513496
808;4414107;14671;4478486
809;4450507;14485;4514531
810;4711876;4636880;4795498
811;4721097;15352;4823921
812;2344793;14473;4822688
813;4691255;14941;4764227
814;4728857;4632051;4897822
815;4735731;14643;5195808
816;4722328;14846;4788805
817;4748701;14695;4829198
818;4752662;4712244;5258934
819;15546;14559;4824025
820;15852;14816;4814980
821;4771535;14737;4864787
822;4792865;15470;4852216
823;15463;15106;4832548
824;4804312;4772072;4881438
825;16201;14936;4977203
826;4789622;4670340;4865142
827;4804087;14914;4868269
828;4818131;4765714;4893665
829;4995705;15584;5037115
830;4993284;15193;5073242
831;5015716;15373;5087386
832;5027892;4973324;5110104
833;5005705;15082;5098834
834;5018878;15138;5164572
835;5151978;16090;7472881
836;5052783;15825;5167544
837;5085988;15580;5181928
838;5024473;15511;5145546
839;5051326;15530;5169005
840;16201;15249;5149253
841;5101472;5055943;5238148
842;5076740;15368;5201544
843;5102348;5064965;5281620
844;5105548;15423;5189040
845;5126941;5059562;5181989
846;5076880;15449;5173969
847;5102299;15726;5221663
848;5357227;16843;5484787
849;5346380;16500;5448969
850;5348046;5264746;5450343
851;16699;15511;5438420
852;5357337;15443;5449827
853;5367766;5329549;5494345
854;5358460;15699;5466778
855;5414576;5343331;5831258
856;5404988;5328072;5511224
857;5431150;5354596;5495165
858;5397116;16039;5514520
859;5437105;15980;5483463
860;5423619;5375273;5500950
861;5401237;15984;5518626
862;5425685;16217;5493860
863;5409078;15730;5566882
864;5445387;5399341;5515001
865;5433067;16064;5537443
866;5437955;15865;5511784
867;5485079;5445453;6052974
868;5671435;16417;5768064
869;5701409;16153;5770304
870;5663823;16366;5743268
871;5712588;16081;5800240
872;5727112;5647154;5815999
873;5704416;16051;5814590
874;5714954;16447;5792608
875;5754038;5676929;5843215
876;5706061;16074;5818030
877;5765603;5697960;5808133
878;5744962;5693559;5854722
879;5756647;16102;5867506
880;5769821;5727913;5857104
881;5788684;16750;5875352
882;5782000;16254;5829048
883;5771558;16480;5872198
884;5796022;5730727;5901925
885;5782875;16392;5862303
886;16782;16250;5853609
887;6367802;16893;6403261
888;6317056;16488;6443238
889;6361162;17468;6441545
890;6336515;16697;6415703
891;6371139;6305350;6449376
892;6369956;16383;6469897
893;16648;16183;6496996
894;6417389;6337403;6482935
895;6415104;6304475;6568591
896;6387900;16534;6494394
897;6428159;17091;6517829
898;6426994;6387183;6525383
899;6457782;16742;6550506
900;6456753;6385118;6626656
901;6449851;6375410;6718309
902;18295;17065;6584709
903;6495293;6423601;6628011
904;6467408;17015;6557527
905;6494451;17423;7142695
906;6731248;16522;6950881
907;6691863;16965;6828699
908;6730924;6660591;6858589
909;6754262;6693896;6864809
910;6746237;6662995;6809496
911;6738407;17302;6847351
912;6776719;17250;6845270
913;6772925;6696219;6815997
914;6779304;6716706;6906556
915;6804062;17504;8272046
916;6794121;6672806;6962995
917;6841652;6637793;7020677
918;18287;16910;6927281
919;6777577;17076;6910695
920;6837327;17599;6932795
921;6868190;6787331;7010806
922;6864014;17447;7028212
923;6894740;17744;6975936
924;6890260;6780257;6960796
925;6646917;17979;6789981
926;6945589;17580;7048291
927;6938906;17953;7050657
928;6932229;17421;7007995
929;6974063;18094;7056586
930;7012708;6919909;7068468
931;6998193;6897760;7097084
932;7009426;6927761;7077412
933;6994618;17920;7109338
934;6968876;17693;7121361
935;7010428;17896;7155239
936;6994751;17436;7134942
937;7014945;17431;7130888
938;18332;17321;7129061
939;7061347;6993740;7124924
940;7047115;17851;7131816
941;7025263;17758;7136377
942;7048410;17812;7275720
943;7087725;17832;7250689
944;7088836;6967013;7184095
945;7374050;18180;7525736
946;7402472;18235;7475599
947;7411249;17731;7558004
948;7424586;7383096;7558699
949;7433255;17869;7542152
950;7379353;17962;7655661
951;7442685;17973;7486059
952;7455071;7344790;7587493
953;7363428;17584;7596038
954;7451154;17983;7729247
955;7466560;7379994;7572697
956;7401274;17943;7646358
957;7512870;7369556;8018423
958;7477439;18149;7728974
959;7544653;19165;7713931
960;7501545;7410549;7618665
961;7508442;7443411;7724487
962;7534476;18300;7707453
963;7597112;7504395;9015387
964;8064326;18707;8185504
965;8084061;8019179;8260089
966;8080617;8000183;8155458
967;8113103;8022967;8243416
968;8075632;18072;8185146
969;8128571;8040257;8239525
970;8171777;19434;8280700
971;8151061;8024507;8275107
972;8131704;18374;8262690
973;8163867;18706;8272021
974;8136318;18427;8268670
975;8197121;8103535;8318262
976;8176441;18173;8364435
977;8175638;8069232;8343500
978;8203323;8094058;8301868
979;8206573;18344;8319189
980;19930;18406;8399030
981;8146033;18535;8352367
982;8169366;18356;8335134
983;8207779;18772;8337612
984;8504684;8390691;8619528
985;8522698;19119;8628740
986;8511646;8402061;9016712
987;8544055;8439913;8693341
988;8560435;8430812;8649681
989;8524056;8437317;8723219
990;19777;18445;8666201
991;8566950;8464477;8673492
992;8667132;18835;11750831
993;20590;19307;8782923
994;8702112;8527703;8764558
995;8665496;8504121;8875900
996;8690628;8508056;8835475
997;8685230;8591172;8823351
998;8678096;8571694;9227234
999;8662300;18998;8780076
1000;8703352;18965;8797926
1001;8744414;8607247;8792583
1002;8449147;8299764;8547952
1003;8767715;19439;8847564
1004;8763169;18892;8921504
1005;8851115;8690042;8897195
1006;8829305;8731524;8898714
1007;8834370;19340;8934552
1008;8853864;8635012;9380150
1009;8842250;8758681;8951673
1010;8830795;19450;8901084
1011;8856736;8745786;9399766
1012;8808192;19762;8956172
1013;8853961;19642;9020310
1014;8916735;19318;9412448
1015;8877071;8763035;8965572
1016;8910996;19532;8982502
1017;8917508;8786829;9079829
1018;8896907;19464;8969038
1019;8874194;19699;9045580
1020;8925023;19643;9022356
1021;8955425;19573;9047455
1022;4574811;19781;9298136
1023;9275237;9193803;9417570
1024;9272292;20021;9710420
1025;9308338;20405;9380736
1026;9303882;19926;9836096
1027;9322250;9250973;9726152
1028;9363025;20536;9418124
1029;9321085;20121;9445423
1030;9300478;20262;9405694
1031;9307276;20099;9504892
1032;20709;19510;9402111
1033;9358922;20360;9427792
1034;9379469;20121;9451752
1035;9387280;9305333;9459191
1036;9411796;20135;9499815
1037;9429995;9318649;9454646
1038;9436484;20338;9515362
1039;9401100;19844;9487526
1040;9438479;20144;9502816
1041;9801867;20329;9886426
1042;9825114;9666446;9921376
1043;9799845;9690661;9869641
1044;9831545;9724051;9886940
1045;21334;20249;9910242
1046;9787376;20092;9926595
1047;20861;20019;9951646
1048;9861654;20702;9964570
1049;9839340;9732266;9925408
1050;9812944;20728;9919606
1051;9881549;20882;9990463
1052;9808712;20504;10120628
1053;9907035;20434;10048012
1054;4925405;20538;10034113
1055;9940507;9758002;10030266
1056;9888988;20476;10087066
1057;9902500;20302;9968932
1058;9917288;20471;10037571
1059;9959046;9834551;10054595
1060;9869030;20438;10023400
1061;10238502;20983;10301826
1062;10186671;20799;10288978
1063;10227102;20334;10327220
1064;10237198;20814;10344298
1065;10299292;10218612;10874703
1066;10297182;21377;10714045
1067;10314938;21015;10502549
1068;10304136;10187360;10448606
1069;10356882;10226849;10624933
1070;10340470;20669;10454926
1071;10348293;21264;10606293
1072;10349232;21652;10467589
1073;10351248;21485;10414616
1074;5152119;21172;10828437
1075;10404592;20650;10540351
1076;10387928;10210895;10922816
1077;10372768;21328;10485134
1078;10395288;10249718;10476799
1079;21435;20740;10432116
1080;10867306;21469;10944624
1081;10860258;10689441;11348920
1082;10902408;22179;11254288
1083;10956084;10791205;11227667
1084;10944792;10780947;11152022
1085;10888823;21040;11024087
1086;10811798;20651;10930853
1087;10906224;21691;11333410
1088;10931473;21030;11007273
1089;10929861;10849673;11007229
1090;10916473;20938;11009278
1091;10996457;21346;11063962
1092;21811;21072;11095860
1093;10885850;21176;11094507
1094;11006480;21563;11076524
1095;11011224;21504;11119752
1096;11001625;21659;11329387
1097;10985784;21685;11117131
1098;11044616;10899398;12360087
1099;11333845;11201739;11814279
1100;11302086;11191998;11406176
1101;11303704;21658;11365274
1102;11341656;11245394;11562886
1103;11350870;21627;15225975
1104;11413871;21778;11526789
1105;11406840;11257905;11495750
1106;11408020;22208;11536181
1107;11387914;22121;11473362
1108;11441292;11319674;11542651
1109;11430121;11324712;11503591
1110;11441920;21925;11502782
1111;11480293;22048;11631806
1112;11455231;21913;11530047
1113;11465285;21866;11629990
1114;11483308;21558;11669660
1115;11495372;22167;11612331
1116;11521208;11400656;11617666
1117;22471;21708;11601311
1118;11892996;22146;12018452
1119;5961633;22251;12019179
1120;11956188;22000;12063435
1121;11967166;22066;12105859
1122;11988470;11853184;12095757
1123;12031548;22729;12146285
1124;12004628;22554;12107095
1125;22749;21691;12167596
